epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,3454.48,1.09843,0.62015,1.10292,0.85441,0.82468,0.8549,0.52573,1.21694,0.59871,1.13607,0.007789,0.007789,0.007789
69,3505.41,1.09584,0.62221,1.09872,0.84984,0.83038,0.85805,0.52598,1.21271,0.59664,1.12999,0.007756,0.007756,0.007756
70,3555.53,1.10062,0.61499,1.09965,0.84995,0.82595,0.8561,0.5273,1.21603,0.5931,1.13074,0.007723,0.007723,0.007723
71,3605.95,1.10654,0.61542,1.09712,0.85125,0.82837,0.85621,0.52648,1.21219,0.59212,1.13099,0.00769,0.00769,0.00769
72,3656.55,1.10537,0.62771,1.10011,0.85672,0.8237,0.85687,0.52953,1.20887,0.5913,1.12918,0.007657,0.007657,0.007657
73,3707.21,1.09188,0.60576,1.09458,0.86845,0.82832,0.85932,0.527,1.21141,0.58697,1.1294,0.007624,0.007624,0.007624
74,3757.65,1.09154,0.61186,1.08553,0.86072,0.82212,0.85569,0.52865,1.20907,0.58752,1.1284,0.007591,0.007591,0.007591
75,3808.27,1.06295,0.59319,1.08324,0.85873,0.82052,0.85444,0.52797,1.21339,0.58347,1.13433,0.007558,0.007558,0.007558
76,3858.76,1.0845,0.61393,1.08985,0.87,0.80877,0.85716,0.52867,1.20799,0.59049,1.13562,0.007525,0.007525,0.007525
77,3909.27,1.06204,0.59488,1.08058,0.86806,0.81415,0.86025,0.53051,1.20821,0.58446,1.13664,0.007492,0.007492,0.007492
78,3959.67,1.07397,0.60602,1.08876,0.86704,0.81522,0.85642,0.52881,1.20516,0.58318,1.13704,0.007459,0.007459,0.007459
79,4010.27,1.07322,0.59692,1.09339,0.85977,0.8225,0.85777,0.52782,1.20547,0.58697,1.13715,0.007426,0.007426,0.007426
80,4061.33,1.07209,0.59614,1.08251,0.85983,0.82174,0.85675,0.53015,1.20763,0.58544,1.13792,0.007393,0.007393,0.007393
81,4111.92,1.07993,0.59599,1.08744,0.84646,0.83465,0.85842,0.52949,1.20884,0.58503,1.13472,0.00736,0.00736,0.00736
82,4164.26,1.06258,0.58929,1.0774,0.84696,0.83288,0.85775,0.5311,1.20539,0.58433,1.13252,0.007327,0.007327,0.007327
83,4214.77,1.0613,0.58415,1.08107,0.85767,0.82706,0.85881,0.53061,1.20941,0.58555,1.13527,0.007294,0.007294,0.007294
84,4265.37,1.04861,0.5888,1.07435,0.85247,0.83433,0.85838,0.53105,1.20267,0.58484,1.13354,0.007261,0.007261,0.007261
85,4316.25,1.05011,0.58419,1.07164,0.85978,0.82613,0.85848,0.53,1.20206,0.58615,1.13306,0.007228,0.007228,0.007228
86,4367,1.05227,0.58234,1.07358,0.86428,0.83191,0.86154,0.53025,1.20308,0.58399,1.13239,0.007195,0.007195,0.007195
87,4417.4,1.04795,0.59033,1.06728,0.86756,0.82831,0.86209,0.53145,1.20511,0.58315,1.13394,0.007162,0.007162,0.007162
88,4467.95,1.04491,0.57842,1.07226,0.86442,0.82864,0.86292,0.53096,1.2053,0.57974,1.13458,0.007129,0.007129,0.007129
89,4518.67,1.04309,0.57413,1.07088,0.86598,0.82225,0.86097,0.53208,1.20554,0.57978,1.13437,0.007096,0.007096,0.007096
90,4569.51,1.04102,0.5828,1.06782,0.87066,0.81557,0.86239,0.53249,1.20501,0.58044,1.13366,0.007063,0.007063,0.007063
91,4620.01,1.03058,0.5687,1.06344,0.85806,0.82637,0.86244,0.5323,1.20382,0.57853,1.13295,0.00703,0.00703,0.00703
92,4670.6,1.03749,0.57643,1.06259,0.86439,0.82431,0.86159,0.53183,1.20484,0.57886,1.13303,0.006997,0.006997,0.006997
93,4721.13,1.02906,0.57199,1.06274,0.86622,0.82193,0.863,0.53145,1.20728,0.57867,1.13434,0.006964,0.006964,0.006964
94,4771.78,1.01932,0.57067,1.05983,0.86678,0.81994,0.85979,0.53036,1.2099,0.57778,1.13493,0.006931,0.006931,0.006931
95,4822.64,1.03253,0.57848,1.06392,0.8675,0.82399,0.86258,0.53141,1.21017,0.57982,1.13532,0.006898,0.006898,0.006898
96,4873.59,1.02417,0.57233,1.06795,0.87132,0.82193,0.86352,0.53159,1.21113,0.57815,1.1366,0.006865,0.006865,0.006865
97,4924.29,1.02511,0.5719,1.06417,0.86902,0.82882,0.86469,0.53297,1.21077,0.57651,1.13666,0.006832,0.006832,0.006832
98,4974.96,1.02288,0.5685,1.05753,0.86578,0.83041,0.86285,0.53198,1.2119,0.57701,1.1377,0.006799,0.006799,0.006799
99,5025.6,1.02123,0.56205,1.06197,0.8678,0.82897,0.86422,0.53204,1.21435,0.57755,1.13878,0.006766,0.006766,0.006766
100,5076.61,1.00909,0.55616,1.05831,0.8664,0.82775,0.8615,0.53204,1.21357,0.57627,1.13846,0.006733,0.006733,0.006733
101,5127.17,1.01376,0.55862,1.05666,0.86014,0.83236,0.86152,0.53242,1.21388,0.57775,1.13914,0.0067,0.0067,0.0067
102,5177.86,1.0166,0.56009,1.06049,0.85769,0.83039,0.86141,0.53327,1.21385,0.5765,1.1399,0.006667,0.006667,0.006667
103,5228.21,1.00843,0.55248,1.05297,0.8616,0.83048,0.8631,0.53276,1.21201,0.57644,1.13956,0.006634,0.006634,0.006634
104,5278.58,1.00283,0.55238,1.0533,0.86404,0.82794,0.8648,0.53496,1.21162,0.57664,1.1394,0.006601,0.006601,0.006601
105,5329.27,1.0039,0.55665,1.05066,0.85914,0.83074,0.86443,0.53511,1.21287,0.57711,1.14023,0.006568,0.006568,0.006568
106,5380.17,1.00594,0.55554,1.05441,0.86393,0.82644,0.86388,0.53465,1.21373,0.5759,1.14139,0.006535,0.006535,0.006535
107,5430.69,0.99704,0.55235,1.05029,0.86193,0.8275,0.86467,0.53462,1.2128,0.57562,1.14027,0.006502,0.006502,0.006502
108,5481.14,0.99722,0.54736,1.04996,0.85982,0.82626,0.8635,0.53323,1.21272,0.57447,1.13969,0.006469,0.006469,0.006469
109,5531.55,0.99592,0.55042,1.04511,0.8465,0.84101,0.86393,0.5341,1.21266,0.57335,1.13946,0.006436,0.006436,0.006436
110,5582.21,0.99412,0.54799,1.04799,0.85112,0.83927,0.86438,0.53572,1.21245,0.57401,1.1392,0.006403,0.006403,0.006403
111,5633.09,0.98275,0.54331,1.04205,0.85614,0.83068,0.86353,0.53546,1.21304,0.57426,1.13905,0.00637,0.00637,0.00637
112,5683.76,0.98664,0.53913,1.04284,0.853,0.83756,0.86424,0.53609,1.21253,0.57384,1.13881,0.006337,0.006337,0.006337
113,5734.53,0.98227,0.54357,1.04253,0.85609,0.83397,0.86388,0.53579,1.21111,0.57291,1.13884,0.006304,0.006304,0.006304
114,5785.01,0.98695,0.53109,1.04036,0.85586,0.83505,0.86435,0.53543,1.20958,0.57329,1.13835,0.006271,0.006271,0.006271
115,5835.73,0.98907,0.5389,1.04135,0.85562,0.83548,0.86459,0.53577,1.20872,0.57141,1.13776,0.006238,0.006238,0.006238
116,5886.59,0.9762,0.53367,1.03461,0.85746,0.83579,0.86438,0.53499,1.20856,0.57038,1.13751,0.006205,0.006205,0.006205
117,5937.57,0.97324,0.53111,1.02978,0.85768,0.83843,0.86455,0.53488,1.20808,0.56864,1.13743,0.006172,0.006172,0.006172
118,5988.27,0.96642,0.52839,1.03389,0.85593,0.83842,0.86388,0.53578,1.20799,0.56794,1.13733,0.006139,0.006139,0.006139
119,6038.8,0.9668,0.52797,1.02967,0.85577,0.83871,0.86384,0.53567,1.20764,0.5673,1.13686,0.006106,0.006106,0.006106
120,6089.33,0.9775,0.53661,1.03917,0.85574,0.83782,0.86274,0.5359,1.20811,0.56619,1.13776,0.006073,0.006073,0.006073
121,6139.98,0.95323,0.52844,1.03245,0.85768,0.83942,0.86272,0.53637,1.20801,0.5665,1.13859,0.00604,0.00604,0.00604
122,6190.9,0.95884,0.53214,1.03287,0.8577,0.8388,0.86314,0.53576,1.20802,0.56636,1.13906,0.006007,0.006007,0.006007
123,6241.58,0.95991,0.52716,1.02618,0.85778,0.84075,0.86321,0.53639,1.20759,0.56703,1.13954,0.005974,0.005974,0.005974
124,6292.19,0.96302,0.5274,1.03259,0.85662,0.83907,0.86311,0.53586,1.20738,0.56719,1.13961,0.005941,0.005941,0.005941
125,6342.97,0.96016,0.52623,1.02761,0.85683,0.84041,0.86364,0.53601,1.20775,0.56769,1.13955,0.005908,0.005908,0.005908
126,6393.7,0.94222,0.51489,1.0228,0.85356,0.84315,0.86502,0.53629,1.20782,0.56819,1.13938,0.005875,0.005875,0.005875
127,6444.47,0.96173,0.52497,1.02345,0.85425,0.84215,0.8649,0.53629,1.20812,0.56837,1.13963,0.005842,0.005842,0.005842
128,6495.09,0.95483,0.51965,1.02593,0.84942,0.84519,0.86465,0.53682,1.20778,0.56751,1.13956,0.005809,0.005809,0.005809
129,6546.02,0.94844,0.51309,1.02785,0.84915,0.84434,0.86558,0.5365,1.20794,0.56667,1.13978,0.005776,0.005776,0.005776
130,6596.61,0.94995,0.51718,1.02449,0.84756,0.84319,0.86478,0.53728,1.20782,0.56616,1.13983,0.005743,0.005743,0.005743
131,6647.24,0.93819,0.51396,1.01408,0.84982,0.8448,0.8668,0.53773,1.20703,0.56629,1.13956,0.00571,0.00571,0.00571
132,6697.83,0.9342,0.50749,1.02021,0.8491,0.84524,0.86682,0.53782,1.20669,0.56657,1.13948,0.005677,0.005677,0.005677
133,6748.56,0.93971,0.51212,1.02381,0.85611,0.8363,0.86481,0.53749,1.20706,0.56594,1.13974,0.005644,0.005644,0.005644
134,6799.26,0.94241,0.51403,1.02109,0.85714,0.83828,0.86548,0.53695,1.20751,0.56608,1.14006,0.005611,0.005611,0.005611
135,6849.95,0.93434,0.50799,1.01977,0.85166,0.84186,0.86508,0.53676,1.20791,0.56576,1.14032,0.005578,0.005578,0.005578
